Title,Piaggio Example Design,,,,,,,,,,,,,
Revision,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,
Generated,5/25/2017 10:27,,,,,,,,,,,,,
Company,N/A,,,,,,,,,,,,,
Comment 1,Capture by Alex Goncharov,,,,,,,,,,,,,
Comment 2,N/A,,,,,,,,,,,,,
Comment 3,N/A,,,,,,,,,,,,,
Comment 4,N/A,,,,,,,,,,,,,
Total Parts,9,,,,,,,,,,,,,
Total Unique Parts,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ref,Qty,Value,Footprint,Description,Mfg,Mfg P/N,Mount,Package,Positions,Supplier #1,Supplier #1 P/N,Tolerance,Type,Voltage
C1 C2 ,2,1uF,Capacitors_SMD:C_0402,CAP CER 1UF 10V X5R 0402,AVX,0402ZD105KAT2A,SMD,402, ,Digikey,478-4596-1-ND,10%,MLCC,10V
J3 J1 J2 ,3,CONN_01X02,Connectors_Molex:Molex_KK-6410-02_02x2.54mm_Straight,CONN HEADER 2POS .100 VERT TIN,Molex,22272021,Thru-hole, ,2,Digikey,WM4111-ND, ,2pos Male Header, 
R1 ,1,3k,Resistors_SMD:R_0402,RES SMD 3K 5% 1/16W 0402,Yageo,RC0402JR-073KL,SMD,402, ,Digikey,311-3.0KJRCT-ND,5%,Thick Film, 
RV1 RV2 ,2,2k,Potentiometers:Potentiometer_Trimmer_Bourns_3214W,2k-ohm 0.25W  1/4W SMD Trimmer,Bourns,3214W-1-202E,SMD,3214W, ,Digikey,3214W-202ECT-ND,10%,Trim, 
U1 ,1,LM321,TO_SOT_Packages_SMD:SOT-23-5,IC OPAMP GP 1MHZ SOT23-5,Texas Instruments,LM321MF/NOPB,SMD,SOT-23-5, ,Digikey,LM321MF/NOPBCT-ND, ,Op-Amp, 
